,0
0,0.5687732342007435
1,0.4312267657992565
2,0.5650557620817844
3,0.42193308550185876
4,0.013011152416356878
5,0.6171003717472119
6,0.3828996282527881
7,0.6784386617100372
8,0.3215613382899628
9,0.5325884543761639
10,0.46741154562383613
11,0.5037174721189591
12,0.4944237918215613
13,0.0018587360594795538
14,0.7044609665427509
15,0.2955390334572491
16,0.6877323420074349
17,0.31226765799256506
18,0.79182156133829
19,0.20631970260223048
20,0.0018587360594795538
21,0.9758364312267658
22,0.024163568773234202
23,0.9089219330855018
24,0.09107806691449814
25,0.5520446096654275
26,0.44609665427509293
27,0.0018587360594795538
28,0.9683426443202979
29,0.03165735567970205
30,0.5594795539033457
31,0.3550185873605948
32,0.08550185873605948
33,0.9033457249070632
34,0.09665427509293681
35,0.5642458100558659
36,0.40782122905027934
37,0.027932960893854747
38,0.8606403013182674
39,0.1374764595103578
40,0.0018832391713747645
41,0.832391713747646
42,0.16760828625235405
43,0.5706214689265536
44,0.3559322033898305
45,0.07344632768361582
46,0.8135593220338984
47,0.1864406779661017
48,0.8455743879472694
49,0.1544256120527307
50,0.9849340866290018
51,0.015065913370998116
52,0.8888888888888888
53,0.1111111111111111
54,0.8361581920903954
55,0.1638418079096045
56,0.71939736346516
57,0.256120527306968
58,0.02448210922787194
59,0.7608286252354048
60,0.2391713747645951
61,0.5216572504708098
62,0.4783427495291902
63,0.8192090395480226
64,0.1657250470809793
